id,ACTION
1,0.467449
2,0.510601
3,0.510408
4,0.510831
5,0.547421
6,0.516125
7,0.524971
8,0.528934
9,0.481536
10,0.511169
11,0.500082
12,0.506611
13,0.498380
14,0.496978
15,0.507662
16,0.513604
17,0.497997
18,0.502456
19,0.514591
20,0.507949
21,0.523272
22,0.510021
23,0.504525
24,0.505076
25,0.503247
26,0.502600
27,0.506685
28,0.487467
29,0.516090
30,0.505837
31,0.513595
32,0.509310
33,0.511599
34,0.521552
35,0.513429
36,0.509613
37,0.515117
38,0.520418
39,0.491589
40,0.504828
41,0.493812
42,0.503542
43,0.501899
44,0.513943
45,0.504607
46,0.503752
47,0.517991
48,0.497093
49,0.529806
50,0.509652
51,0.517542
52,0.517946
53,0.518042
54,0.509778
55,0.502627
56,0.484570
57,0.513642
58,0.533152
59,0.512094
60,0.502997
61,0.510497
62,0.511170
63,0.503269
64,0.514259
65,0.525418
66,0.513447
67,0.502830
68,0.519798
69,0.507594
70,0.489225
71,0.507319
72,0.514192
73,0.504552
74,0.519049
75,0.510864
76,0.516330
77,0.513962
78,0.509327
79,0.505428
80,0.511012
81,0.517363
82,0.509941
83,0.508244
84,0.519526
85,0.506590
86,0.487431
87,0.505560
88,0.510686
89,0.521330
90,0.502267
91,0.508947
92,0.506545
93,0.519110
94,0.498321
95,0.511511
96,0.498977
97,0.489577
98,0.513963
99,0.515687
100,0.502978
101,0.510934
102,0.491172
103,0.507848
104,0.494725
105,0.497253
106,0.516201
107,0.528367
108,0.504620
109,0.513568
110,0.508604
111,0.497663
112,0.509189
113,0.504515
114,0.515636
115,0.510739
116,0.512888
117,0.513784
118,0.515109
119,0.521885
120,0.512191
121,0.510428
122,0.512743
123,0.503331
124,0.514897
125,0.513086
126,0.505056
127,0.486049
128,0.496215
129,0.495693
130,0.506298
131,0.543173
132,0.508969
133,0.503557
134,0.497736
135,0.510598
136,0.506531
137,0.521998
138,0.512726
139,0.496366
140,0.513467
141,0.514557
142,0.502237
143,0.519263
144,0.506528
145,0.518960
146,0.487503
147,0.485867
148,0.501109
149,0.523341
150,0.510050
151,0.512239
152,0.514101
153,0.519297
154,0.504088
155,0.501864
156,0.512509
157,0.507585
158,0.506576
159,0.514230
160,0.507442
161,0.489017
162,0.521680
163,0.512703
164,0.504304
165,0.513665
166,0.522266
167,0.504866
168,0.504793
169,0.508813
170,0.521323
171,0.512482
172,0.521142
173,0.509171
174,0.511787
175,0.505204
176,0.533700
177,0.496717
178,0.512860
179,0.521076
180,0.487721
181,0.480618
182,0.506267
183,0.511119
184,0.505856
185,0.515546
186,0.503271
187,0.512399
188,0.500132
189,0.508583
190,0.521870
191,0.523539
192,0.498977
193,0.539836
194,0.509970
195,0.510096
196,0.522271
197,0.507825
198,0.508076
199,0.514859
200,0.481309
201,0.506308
202,0.502673
203,0.496649
204,0.504764
205,0.510890
206,0.509080
207,0.518059
208,0.504640
209,0.488722
210,0.518943
211,0.509782
212,0.496997
213,0.522610
214,0.508417
215,0.507581
216,0.509949
217,0.505110
218,0.514008
219,0.509697
220,0.506512
221,0.497483
222,0.529870
223,0.505158
224,0.494456
225,0.518989
226,0.504086
227,0.492434
228,0.510488
229,0.532211
230,0.518508
231,0.505706
232,0.505639
233,0.507390
234,0.502463
235,0.515957
236,0.492944
237,0.510403
238,0.517527
239,0.500419
240,0.516301
241,0.511262
242,0.467805
243,0.494106
244,0.507526
245,0.490801
246,0.527696
247,0.507968
248,0.503651
249,0.516524
250,0.518495
251,0.516353
252,0.502662
253,0.512074
254,0.509252
255,0.527682
256,0.511649
257,0.516450
258,0.497927
259,0.507234
260,0.543025
261,0.518012
262,0.504352
263,0.511765
264,0.523117
265,0.516595
266,0.504940
267,0.514699
268,0.511243
269,0.516524
270,0.514466
271,0.516179
272,0.502410
273,0.517572
274,0.508578
275,0.519512
276,0.490434
277,0.512024
278,0.509467
279,0.505257
280,0.504974
281,0.547633
282,0.513341
283,0.497758
284,0.509128
285,0.508424
286,0.511978
287,0.528354
288,0.525271
289,0.492199
290,0.516966
291,0.491596
292,0.508232
293,0.520942
294,0.507983
295,0.513499
296,0.489526
297,0.451306
298,0.514963
299,0.492158
300,0.513180
301,0.495296
302,0.510044
303,0.485936
304,0.498894
305,0.513064
306,0.507194
307,0.506055
308,0.519287
309,0.506287
310,0.509553
311,0.510537
312,0.502831
313,0.510449
314,0.502668
315,0.533209
316,0.517336
317,0.505435
318,0.516303
319,0.502328
320,0.518136
321,0.510278
322,0.485169
323,0.523700
324,0.511917
325,0.518848
326,0.502985
327,0.521713
328,0.518698
329,0.507110
330,0.515861
331,0.506292
332,0.501785
333,0.516243
334,0.489921
335,0.516946
336,0.504834
337,0.509759
338,0.520838
339,0.505508
340,0.497928
341,0.509806
342,0.518783
343,0.497317
344,0.516094
345,0.527511
346,0.507991
347,0.504712
348,0.502170
349,0.535123
350,0.504963
351,0.499675
352,0.528541
353,0.507478
354,0.487374
355,0.511584
356,0.511613
357,0.504088
358,0.501447
359,0.517436
360,0.495469
361,0.516750
362,0.513246
363,0.511468
364,0.489036
365,0.508780
366,0.508673
367,0.515840
368,0.516416
369,0.503570
370,0.506758
371,0.510583
372,0.507162
373,0.466510
374,0.501395
375,0.503275
376,0.511241
377,0.449350
378,0.507906
379,0.527184
380,0.502275
381,0.489145
382,0.496795
383,0.531764
384,0.499672
385,0.497177
386,0.514887
387,0.511870
388,0.504060
389,0.507610
390,0.510827
391,0.507204
392,0.524502
393,0.507435
394,0.528377
395,0.501028
396,0.531205
397,0.519119
398,0.506829
399,0.516031
400,0.502651
401,0.522197
402,0.514173
403,0.517734
404,0.521607
405,0.535362
406,0.499878
407,0.500590
408,0.515200
409,0.510583
410,0.501506
411,0.545953
412,0.502885
413,0.492261
414,0.503158
415,0.511352
416,0.510087
417,0.505210
418,0.498594
419,0.508924
420,0.508169
421,0.516521
422,0.499943
423,0.499105
424,0.494544
425,0.510088
426,0.517607
427,0.510104
428,0.502772
429,0.501022
430,0.526822
431,0.509751
432,0.510719
433,0.507627
434,0.500485
435,0.517738
436,0.532166
437,0.502476
438,0.491387
439,0.498806
440,0.498230
441,0.518095
442,0.525188
443,0.508662
444,0.506292
445,0.485239
446,0.516216
447,0.492314
448,0.517610
449,0.513985
450,0.504911
451,0.504360
452,0.502498
453,0.516716
454,0.492505
455,0.506980
456,0.516218
457,0.510846
458,0.500762
459,0.505883
460,0.503906
461,0.476397
462,0.534817
463,0.506253
464,0.512094
465,0.514750
466,0.514420
467,0.493740
468,0.502339
469,0.506149
470,0.509125
471,0.506834
472,0.506610
473,0.510751
474,0.520151
475,0.506496
476,0.490169
477,0.521292
478,0.512756
479,0.519568
480,0.515034
481,0.507155
482,0.502122
483,0.522018
484,0.518783
485,0.513377
486,0.504559
487,0.497838
488,0.516212
489,0.506424
490,0.504702
491,0.500460
492,0.504627
493,0.500280
494,0.512556
495,0.512371
496,0.527383
497,0.519415
498,0.512542
499,0.515026
500,0.511839
501,0.516848
