id,ACTION
1,0.926924
2,0.979430
3,0.996673
4,0.995794
5,0.999295
6,0.997136
7,0.959610
8,0.999902
9,0.925422
10,0.972732
11,0.974704
12,0.978140
13,0.992159
14,0.802856
15,0.947064
16,0.959331
17,0.614343
18,0.813968
19,0.997897
20,0.996345
21,0.999197
22,0.993538
23,0.976582
24,0.980614
25,0.995025
26,0.943283
27,0.993310
28,0.985763
29,0.983185
30,0.916932
31,0.993178
32,0.983505
33,0.992668
34,0.995112
35,0.992068
36,0.986736
37,0.991893
38,0.999770
39,0.991011
40,0.965902
41,0.951403
42,0.992368
43,0.990584
44,0.994847
45,0.995444
46,0.987449
47,0.999097
48,0.984448
49,0.999942
50,0.998308
51,0.987772
52,0.994568
53,0.987180
54,0.997811
55,0.980490
56,0.993127
57,0.988904
58,0.999316
59,0.993825
60,0.991425
61,0.996159
62,0.998206
63,0.984940
64,0.997780
65,0.998667
66,0.991485
67,0.990540
68,0.999017
69,0.990326
70,0.727725
71,0.985266
72,0.988879
73,0.996604
74,0.998303
75,0.989834
76,0.998843
77,0.998053
78,0.967119
79,0.696297
80,0.998740
81,0.999575
82,0.996243
83,0.966902
84,0.996385
85,0.990467
86,0.959785
87,0.980211
88,0.998138
89,0.995279
90,0.858365
91,0.991991
92,0.793484
93,0.997593
94,0.987374
95,0.991418
96,0.998511
97,0.464004
98,0.998277
99,0.994026
100,0.997771
101,0.978623
102,0.347002
103,0.996280
104,0.989346
105,0.473317
106,0.996324
107,0.999184
108,0.977512
109,0.990697
110,0.983350
111,0.843624
112,0.978899
113,0.984218
114,0.999097
115,0.978429
116,0.973339
117,0.990179
118,0.955597
119,0.999268
120,0.988514
121,0.952281
122,0.990656
123,0.897555
124,0.997685
125,0.990721
126,0.839535
127,0.794833
128,0.954326
129,0.935178
130,0.995154
131,0.997496
132,0.998084
133,0.992280
134,0.909591
135,0.998915
136,0.965135
137,0.997346
138,0.936210
139,0.959890
140,0.998988
141,0.998418
142,0.971457
143,0.995214
144,0.995205
145,0.999579
146,0.704516
147,0.780897
148,0.820601
149,0.999206
150,0.987497
151,0.998334
152,0.856493
153,0.994963
154,0.960162
155,0.976130
156,0.968017
157,0.992727
158,0.992466
159,0.976610
160,0.971747
161,0.955868
162,0.996851
163,0.998571
164,0.977978
165,0.990791
166,0.999667
167,0.975649
168,0.992102
169,0.989230
170,0.996300
171,0.997585
172,0.993259
173,0.963485
174,0.995363
175,0.989989
176,0.999359
177,0.960274
178,0.995506
179,0.999494
180,0.925751
181,0.676877
182,0.987697
183,0.943780
184,0.918188
185,0.991145
186,0.973935
187,0.997940
188,0.987433
189,0.612097
190,0.992577
191,0.999574
192,0.996436
193,0.997733
194,0.995485
195,0.968969
196,0.997501
197,0.991614
198,0.976941
199,0.993893
200,0.882896
201,0.996193
202,0.988814
203,0.957641
204,0.993527
205,0.999002
206,0.989427
207,0.995358
208,0.987423
209,0.664420
210,0.770533
211,0.957190
212,0.991921
213,0.998394
214,0.982572
215,0.992071
216,0.911184
217,0.952657
218,0.995781
219,0.996099
220,0.977515
221,0.441277
222,0.999416
223,0.999485
224,0.992546
225,0.959344
226,0.786148
227,0.972748
228,0.990667
229,0.998775
230,0.995468
231,0.983403
232,0.958800
233,0.967452
234,0.117831
235,0.907625
236,0.965191
237,0.969642
238,0.984324
239,0.913237
240,0.998470
241,0.983169
242,0.752619
243,0.481530
244,0.991951
245,0.986959
246,0.999285
247,0.983630
248,0.984312
249,0.988337
250,0.997718
251,0.996616
252,0.964036
253,0.998618
254,0.999140
255,0.999107
256,0.976876
257,0.985742
258,0.943077
259,0.989637
260,0.998723
261,0.993226
262,0.969363
263,0.996017
264,0.998323
265,0.998002
266,0.991429
267,0.981571
268,0.997591
269,0.985070
270,0.995618
271,0.995536
272,0.972981
273,0.995432
274,0.613176
275,0.998329
276,0.938980
277,0.997270
278,0.999085
279,0.986971
280,0.946100
281,0.999629
282,0.998999
283,0.957460
284,0.952243
285,0.997753
286,0.992090
287,0.999564
288,0.996801
289,0.994067
290,0.995454
291,0.651725
292,0.912261
293,0.992195
294,0.986558
295,0.993479
296,0.439214
297,0.691074
298,0.979876
299,0.883652
300,0.996901
301,0.832700
302,0.997343
303,0.564741
304,0.906010
305,0.994190
306,0.995201
307,0.981852
308,0.999554
309,0.938324
310,0.982893
311,0.998689
312,0.996716
313,0.995003
314,0.998827
315,0.999283
316,0.996232
317,0.963399
318,0.996711
319,0.740106
320,0.998820
321,0.996389
322,0.414439
323,0.999689
324,0.992359
325,0.964623
326,0.922452
327,0.995759
328,0.998906
329,0.997571
330,0.994803
331,0.995786
332,0.971157
333,0.993668
334,0.934189
335,0.993526
336,0.982432
337,0.988660
338,0.993748
339,0.990876
340,0.994543
341,0.998837
342,0.989616
343,0.981349
344,0.999494
345,0.999090
346,0.997356
347,0.989125
348,0.984349
349,0.998008
350,0.958411
351,0.974522
352,0.999689
353,0.985050
354,0.884742
355,0.983966
356,0.996943
357,0.994054
358,0.996113
359,0.973304
360,0.545832
361,0.960009
362,0.983876
363,0.975722
364,0.917312
365,0.999439
366,0.999425
367,0.993782
368,0.999006
369,0.992225
370,0.997594
371,0.986522
372,0.995147
373,0.797394
374,0.279873
375,0.955643
376,0.993166
377,0.688793
378,0.991693
379,0.997761
380,0.910847
381,0.859255
382,0.984940
383,0.999698
384,0.991816
385,0.991353
386,0.984449
387,0.848812
388,0.981755
389,0.992765
390,0.993764
391,0.913942
392,0.997618
393,0.948480
394,0.991608
395,0.977253
396,0.991780
397,0.999659
398,0.983971
399,0.996297
400,0.996050
401,0.996808
402,0.993374
403,0.983764
404,0.973848
405,0.998766
406,0.989779
407,0.930109
408,0.994948
409,0.970013
410,0.997960
411,0.997914
412,0.961059
413,0.863583
414,0.996652
415,0.988802
416,0.938035
417,0.989504
418,0.993731
419,0.993965
420,0.992648
421,0.998946
422,0.990560
423,0.958745
424,0.844958
425,0.995561
426,0.973988
427,0.997216
428,0.992950
429,0.961302
430,0.999298
431,0.987606
432,0.990188
433,0.986928
434,0.983487
435,0.993489
436,0.999569
437,0.996216
438,0.179155
439,0.977131
440,0.456501
441,0.992807
442,0.999825
443,0.996390
444,0.995283
445,0.956578
446,0.997959
447,0.891542
448,0.996041
449,0.988593
450,0.983043
451,0.929568
452,0.990560
453,0.997989
454,0.953583
455,0.992985
456,0.993233
457,0.998691
458,0.997814
459,0.996905
460,0.723814
461,0.929922
462,0.998952
463,0.993980
464,0.993749
465,0.983354
466,0.997924
467,0.376748
468,0.982078
469,0.991655
470,0.992374
471,0.993953
472,0.994366
473,0.998263
474,0.995363
475,0.970865
476,0.992306
477,0.996783
478,0.993126
479,0.996862
480,0.998082
481,0.998793
482,0.982838
483,0.999167
484,0.979111
485,0.980160
486,0.929019
487,0.983943
488,0.993735
489,0.994519
490,0.981872
491,0.995042
492,0.987285
493,0.977456
494,0.993886
495,0.992800
496,0.993249
497,0.998242
498,0.998384
499,0.998537
500,0.977635
501,0.986190
502,0.943573
503,0.980942
504,0.985302
505,0.980350
506,0.998268
507,0.996825
508,0.976730
509,0.986076
510,0.410970
511,0.974124
512,0.988624
513,0.997364
514,0.722304
515,0.990426
516,0.990528
517,0.998878
518,0.929159
519,0.964586
520,0.948135
521,0.998283
522,0.996028
523,0.993619
524,0.256796
525,0.534778
526,0.465631
527,0.995065
528,0.991649
529,0.979469
530,0.998950
531,0.931325
532,0.984502
533,0.992930
534,0.974810
535,0.991569
536,0.987839
537,0.999444
538,0.988859
539,0.987870
540,0.945961
541,0.997009
542,0.977610
543,0.922857
544,0.968509
545,0.988429
546,0.994066
547,0.889328
548,0.706629
549,0.915824
550,0.884151
551,0.970356
552,0.951674
553,0.995914
554,0.918831
555,0.996873
556,0.987161
557,0.989491
558,0.968723
559,0.978032
560,0.981903
561,0.996481
562,0.992614
563,0.995978
564,0.752574
565,0.999461
566,0.972743
567,0.958652
568,0.867810
569,0.990782
570,0.981514
571,0.414750
572,0.994872
573,0.956285
574,0.428392
575,0.999443
576,0.994928
577,0.991674
578,0.993235
579,0.834624
580,0.978986
581,0.990582
582,0.990325
583,0.997545
584,0.896698
585,0.995430
586,0.989726
587,0.935137
588,0.992713
589,0.996935
590,0.939670
591,0.979478
592,0.999184
593,0.966434
594,0.988407
595,0.998458
596,0.997872
597,0.994481
598,0.871744
599,0.974780
600,0.973031
601,0.989195
602,0.969093
603,0.999759
604,0.994840
605,0.979698
606,0.995978
607,0.991369
608,0.997045
609,0.979933
610,0.822226
611,0.991873
612,0.987789
613,0.995561
614,0.752755
615,0.999341
616,0.537829
617,0.951593
618,0.996296
619,0.987644
620,0.998751
621,0.997698
622,0.969091
623,0.987831
624,0.920293
625,0.905660
626,0.995320
627,0.993776
628,0.954351
629,0.996305
630,0.998003
631,0.997248
632,0.968965
633,0.998041
634,0.998014
635,0.940789
636,0.994064
637,0.979785
638,0.992061
639,0.968321
640,0.987923
641,0.997914
642,0.973477
643,0.980011
644,0.995733
645,0.998502
646,0.761358
647,0.996821
648,0.954914
649,0.997882
650,0.892256
651,0.993005
652,0.998200
653,0.509950
654,0.980583
655,0.940330
656,0.995429
657,0.990537
658,0.995730
659,0.995851
660,0.966576
661,0.991595
662,0.995424
663,0.995491
664,0.994502
665,0.948874
666,0.618682
667,0.962263
668,0.979290
669,0.960478
670,0.490993
671,0.980349
672,0.979363
673,0.694300
674,0.978360
675,0.972339
676,0.992556
677,0.966869
678,0.997420
679,0.996554
680,0.990220
681,0.534118
682,0.982093
683,0.998065
684,0.991520
685,0.963169
686,0.976639
687,0.991061
688,0.996327
689,0.996924
690,0.998537
691,0.999377
692,0.997852
693,0.936231
694,0.996780
695,0.984413
696,0.718224
697,0.999291
698,0.996515
699,0.997143
700,0.990626
701,0.980126
702,0.995251
703,0.973593
704,0.967324
705,0.907776
706,0.820184
707,0.921331
708,0.998158
709,0.980630
710,0.993924
711,0.900569
712,0.944202
713,0.992850
714,0.998677
715,0.988141
716,0.865829
717,0.994110
718,0.960102
719,0.993690
720,0.993837
721,0.978935
722,0.998154
723,0.985563
724,0.984530
725,0.987375
726,0.963124
727,0.997785
728,0.999128
729,0.910415
730,0.953521
731,0.961211
732,0.999736
733,0.999710
734,0.999977
735,0.989332
736,0.782478
737,0.993566
738,0.996323
739,0.981773
740,0.997607
741,0.992985
742,0.995815
743,0.992502
744,0.998653
745,0.995272
746,0.993988
747,0.986396
748,0.996925
749,0.991402
750,0.999939
751,0.998502
752,0.988128
753,0.969806
754,0.980489
755,0.991986
756,0.717114
757,0.999343
758,0.987020
759,0.940776
760,0.952743
761,0.959526
762,0.962138
763,0.959820
764,0.966550
765,0.993674
766,0.982990
767,0.990803
768,0.995310
769,0.984444
770,0.985833
771,0.998964
772,0.991859
773,0.997947
774,0.994798
775,0.977809
776,0.857694
777,0.966783
778,0.990751
779,0.996026
780,0.515431
781,0.821857
782,0.987420
783,0.997705
784,0.979719
785,0.701776
786,0.975436
787,0.996207
788,0.974640
789,0.982462
790,0.944186
791,0.988564
792,0.994343
793,0.926934
794,0.984863
795,0.997115
796,0.947085
797,0.998724
798,0.997953
799,0.984321
800,0.999435
801,0.997578
