id,ACTION
1,0.587635
2,0.996390
3,0.995207
4,0.996212
5,0.999060
6,0.993820
7,0.979532
8,0.993820
9,0.893030
10,0.936528
11,0.908630
12,0.969715
13,0.993476
14,0.871904
15,0.947704
16,0.960693
17,0.652633
18,0.908630
19,0.996115
20,0.994386
21,0.908630
22,0.993078
23,0.994837
24,0.908630
25,0.992048
26,0.876978
27,0.987647
28,0.908630
29,0.979532
30,0.964105
31,0.969715
32,0.979601
33,0.991357
34,0.979532
35,0.969715
36,0.971810
37,0.981414
38,0.909273
39,0.890714
40,0.964105
41,0.893030
42,0.989308
43,0.952428
44,0.993078
45,0.992048
46,0.909273
47,0.995368
48,0.952428
49,0.997813
50,0.616286
51,0.969715
52,0.969715
53,0.969715
54,0.994624
55,0.985039
56,0.996550
57,0.950949
58,0.997406
59,0.962590
60,0.990477
61,0.994120
62,0.908630
63,0.858824
64,0.974133
65,0.956781
66,0.989308
67,0.993078
68,0.994386
69,0.908630
70,0.312166
71,0.996472
72,0.994386
73,0.994837
74,0.969715
75,0.992048
76,0.997100
77,0.962772
78,0.993820
79,0.381773
80,0.908630
81,0.987647
82,0.908630
83,0.938153
84,0.998728
85,0.903158
86,0.996883
87,0.990477
88,0.974602
89,0.992048
90,0.794353
91,0.979601
92,0.902531
93,0.994120
94,0.908630
95,0.956781
96,0.997443
97,0.908630
98,0.964105
99,0.991357
100,0.994120
101,0.921586
102,0.987647
103,0.908630
104,0.893030
105,0.832720
106,0.971810
107,0.997956
108,0.908630
109,0.972566
110,0.908630
111,0.908630
112,0.989308
113,0.908630
114,0.985039
115,0.926975
116,0.969715
117,0.969715
118,0.995031
119,0.994624
120,0.979532
121,0.858165
122,0.993820
123,0.782856
124,0.990477
125,0.996472
126,0.936528
127,0.992610
128,0.919112
129,0.997443
130,0.994624
131,0.994243
132,0.993476
133,0.908630
134,0.837813
135,0.995900
136,0.908630
137,0.969715
138,0.983195
139,0.871904
140,0.993820
141,0.908630
142,0.985039
143,0.995782
144,0.993078
145,0.994120
146,0.586086
147,0.981078
148,0.956781
149,0.994120
150,0.994837
151,0.993078
152,0.616286
153,0.983195
154,0.908630
155,0.908630
156,0.908630
157,0.903158
158,0.989308
159,0.962772
160,0.996823
161,0.656420
162,0.966815
163,0.993078
164,0.908630
165,0.962590
166,0.996390
167,0.908630
168,0.908630
169,0.994120
170,0.998079
171,0.993078
172,0.994624
173,0.948888
174,0.990477
175,0.994386
176,0.995207
177,0.952428
178,0.967280
179,0.908630
180,0.981078
181,0.890714
182,0.994624
183,0.962590
184,0.823469
185,0.993820
186,0.950949
187,0.992048
188,0.952428
189,0.823469
190,0.959353
191,0.997582
192,0.997443
193,0.994243
194,0.990477
195,0.930762
196,0.998265
197,0.990477
198,0.969715
199,0.993820
200,0.908630
201,0.985039
202,0.985039
203,0.914192
204,0.908630
205,0.985039
206,0.962772
207,0.969715
208,0.908630
209,0.742164
210,0.823469
211,0.891281
212,0.993476
213,0.998736
214,0.713636
215,0.908630
216,0.908630
217,0.956781
218,0.992610
219,0.994837
220,0.969715
221,0.645049
222,0.993476
223,0.989308
224,0.893030
225,0.997100
226,0.908630
227,0.858824
228,0.969715
229,0.998736
230,0.950949
231,0.908630
232,0.905430
233,0.466932
234,0.366322
235,0.908630
236,0.890714
237,0.908630
238,0.969715
239,0.908630
240,0.969715
241,0.962590
242,0.587635
243,0.474448
244,0.908630
245,0.893030
246,0.969715
247,0.969715
248,0.974133
249,0.979532
250,0.950949
251,0.947704
252,0.985039
253,0.998389
254,0.987647
255,0.995368
256,0.962590
257,0.991357
258,0.871904
259,0.954069
260,0.994243
261,0.989308
262,0.990477
263,0.991357
264,0.993820
265,0.998151
266,0.908630
267,0.969715
268,0.995900
269,0.979532
270,0.969715
271,0.969715
272,0.995031
273,0.998426
274,0.879643
275,0.993078
276,0.993476
277,0.995368
278,0.998389
279,0.985039
280,0.908630
281,0.999060
282,0.998426
283,0.995031
284,0.908630
285,0.992048
286,0.896610
287,0.998728
288,0.993078
289,0.921106
290,0.998151
291,0.858824
292,0.891281
293,0.995368
294,0.991357
295,0.993476
296,0.908630
297,0.902531
298,0.960939
299,0.908630
300,0.991357
301,0.992610
302,0.994624
303,0.936528
304,0.908630
305,0.993476
306,0.908630
307,0.903158
308,0.996115
309,0.942948
310,0.903158
311,0.985039
312,0.963985
313,0.908630
314,0.993078
315,0.996115
316,0.992610
317,0.909273
318,0.969715
319,0.908630
320,0.969715
321,0.938153
322,0.908630
323,0.997733
324,0.889963
325,0.987647
326,0.985039
327,0.992048
328,0.969715
329,0.996472
330,0.969715
331,0.992610
332,0.992610
333,0.963227
334,0.890714
335,0.961649
336,0.908630
337,0.993078
338,0.971810
339,0.956781
340,0.993476
341,0.969715
342,0.969715
343,0.891281
344,0.994837
345,0.995782
346,0.993820
347,0.896610
348,0.985039
349,0.997406
350,0.967280
351,0.832959
352,0.998040
353,0.947704
354,0.733164
355,0.969715
356,0.996011
357,0.908630
358,0.994386
359,0.969715
360,0.985039
361,0.993820
362,0.969715
363,0.864573
364,0.996115
365,0.995207
366,0.991357
367,0.991357
368,0.997933
369,0.908630
370,0.969715
371,0.995782
372,0.990477
373,0.997645
374,0.265196
375,0.896610
376,0.987647
377,0.656420
378,0.987647
379,0.996390
380,0.908630
381,0.985039
382,0.952428
383,0.950949
384,0.987647
385,0.987647
386,0.993078
387,0.957939
388,0.998389
389,0.921586
390,0.995782
391,0.990477
392,0.989308
393,0.823469
394,0.949041
395,0.908630
396,0.950949
397,0.995900
398,0.992610
399,0.991357
400,0.996011
401,0.979532
402,0.988337
403,0.950949
404,0.980368
405,0.997284
406,0.987647
407,0.713636
408,0.990477
409,0.995782
410,0.996011
411,0.998169
412,0.908630
413,0.858824
414,0.994120
415,0.938153
416,0.921586
